county,precinct,office,office,party,candidate,votes,election_day,mail,provisional
Wayne,DYBERRY TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,5,4,1,0
Wayne,DYBERRY TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,7,4,3,0
Wayne,DYBERRY TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,2,2,0,0
Wayne,DYBERRY TOWNSHIP,U.S. Senate,,,Write-ins,1,1,0,0
Wayne,DYBERRY TOWNSHIP,U.S. Senate,,,Over Votes,0,,,
Wayne,DYBERRY TOWNSHIP,U.S. Senate,,,Under Votes,11,,,
Wayne,DYBERRY TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,308,175,133,0
Wayne,DYBERRY TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,577,435,138,4
Wayne,DYBERRY TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,10,6,4,0
Wayne,DYBERRY TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,6,4,2,0
Wayne,DYBERRY TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,5,4,1,0
Wayne,DYBERRY TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,2,1,1,0
Wayne,DYBERRY TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,DYBERRY TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,DYBERRY TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,20,,,
Wayne,DYBERRY TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,285,154,131,0
Wayne,DYBERRY TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,586,444,138,4
Wayne,DYBERRY TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,15,9,6,0
Wayne,DYBERRY TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,2,2,0,0
Wayne,DYBERRY TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,9,8,1,0
Wayne,DYBERRY TOWNSHIP,AUDITOR GENERAL,,,Write-ins,1,0,1,0
Wayne,DYBERRY TOWNSHIP,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,DYBERRY TOWNSHIP,AUDITOR GENERAL,,,Under Votes,30,,,
Wayne,DYBERRY TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,281,153,128,0
Wayne,DYBERRY TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,599,450,145,4
Wayne,DYBERRY TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,8,7,1,0
Wayne,DYBERRY TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,5,5,0,0
Wayne,DYBERRY TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,2,1,1,0
Wayne,DYBERRY TOWNSHIP,STATE TREASURER,,,Write-ins,1,0,1,0
Wayne,DYBERRY TOWNSHIP,STATE TREASURER,,,Over Votes,0,,,
Wayne,DYBERRY TOWNSHIP,STATE TREASURER,,,Under Votes,32,,,
Wayne,DYBERRY TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,350,197,153,0
Wayne,DYBERRY TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,566,430,132,4
Wayne,DYBERRY TOWNSHIP,U.S. House,8,,Write-ins,2,2,0,0
Wayne,DYBERRY TOWNSHIP,U.S. House,8,,Over Votes,0,,,
Wayne,DYBERRY TOWNSHIP,U.S. House,8,,Under Votes,11,,,
Wayne,DYBERRY TOWNSHIP,State House,111,REP,JONATHAN FRITZ,761,546,211,4
Wayne,DYBERRY TOWNSHIP,State House,111,,Write-ins,31,18,13,0
Wayne,DYBERRY TOWNSHIP,State House,111,,Over Votes,0,,,
Wayne,DYBERRY TOWNSHIP,State House,111,,Under Votes,136,,,
Wayne,HAWLEY BOROUGH,Registered Voters,,,,886,,,
Wayne,HAWLEY BOROUGH,Ballots Cast,,,,651,,,
Wayne,HAWLEY BOROUGH,President,,DEM,KAMALA D HARRIS,260,156,101,3
Wayne,HAWLEY BOROUGH,President,,REP,DONALD J TRUMP,382,293,82,7
Wayne,HAWLEY BOROUGH,President,,LIB,CHASE OLIVER,3,2,1,0
Wayne,HAWLEY BOROUGH,President,,GRN,JILL STEIN,1,1,0,0
Wayne,HAWLEY BOROUGH,President,,,Write-ins,2,1,1,0
Wayne,HAWLEY BOROUGH,President,,,Over Votes,2,,,
Wayne,HAWLEY BOROUGH,President,,,Under Votes,1,,,
Wayne,HAWLEY BOROUGH,U.S. Senate,,DEM,ROBERT P CASEY JR,260,156,101,3
Wayne,HAWLEY BOROUGH,U.S. Senate,,REP,DAVE MCCORMICK,359,274,79,6
Wayne,HAWLEY BOROUGH,U.S. Senate,,LIB,JOHN C THOMAS,9,8,1,0
Wayne,HAWLEY BOROUGH,U.S. Senate,,GRN,LEILA HAZOU,4,4,0,0
Wayne,HAWLEY BOROUGH,U.S. Senate,,CST,MARTY SELKER,5,5,0,0
Wayne,HAWLEY BOROUGH,U.S. Senate,,,Write-ins,1,0,1,0
Wayne,HAWLEY BOROUGH,U.S. Senate,,,Over Votes,3,,,
Wayne,HAWLEY BOROUGH,U.S. Senate,,,Under Votes,10,,,
Wayne,HAWLEY BOROUGH,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,251,150,98,3
Wayne,HAWLEY BOROUGH,ATTORNEY GENERAL,,REP,DAVE SUNDAY,361,277,79,5
Wayne,HAWLEY BOROUGH,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,14,10,3,1
Wayne,HAWLEY BOROUGH,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,6,5,1,0
Wayne,HAWLEY BOROUGH,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,4,4,0,0
Wayne,HAWLEY BOROUGH,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,0,0,0,0
Wayne,HAWLEY BOROUGH,ATTORNEY GENERAL,,,Write-ins,1,0,1,0
Wayne,HAWLEY BOROUGH,ATTORNEY GENERAL,,,Over Votes,1,,,
Wayne,HAWLEY BOROUGH,ATTORNEY GENERAL,,,Under Votes,11,,,
Wayne,HAWLEY BOROUGH,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,240,138,99,3
Wayne,HAWLEY BOROUGH,AUDITOR GENERAL,,REP,TIM DEFOOR,361,277,79,5
Wayne,HAWLEY BOROUGH,AUDITOR GENERAL,,LIB,REECE SMITH,17,14,2,1
Wayne,HAWLEY BOROUGH,AUDITOR GENERAL,,ASP,ERIC K ANTON,2,2,0,0
Wayne,HAWLEY BOROUGH,AUDITOR GENERAL,,CST,BOB GOODRICH,8,7,1,0
Wayne,HAWLEY BOROUGH,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,HAWLEY BOROUGH,AUDITOR GENERAL,,,Over Votes,1,,,
Wayne,HAWLEY BOROUGH,AUDITOR GENERAL,,,Under Votes,20,,,
Wayne,HAWLEY BOROUGH,STATE TREASURER,,DEM,ERIN MCCLELLAND,240,137,101,2
Wayne,HAWLEY BOROUGH,STATE TREASURER,,REP,STACY GARRITY,372,289,77,6
Wayne,HAWLEY BOROUGH,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,11,8,2,1
Wayne,HAWLEY BOROUGH,STATE TREASURER,,CST,TROY BOWMAN,6,5,1,0
Wayne,HAWLEY BOROUGH,STATE TREASURER,,FWD,CHRIS FOSTER,1,1,0,0
Wayne,HAWLEY BOROUGH,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,HAWLEY BOROUGH,STATE TREASURER,,,Over Votes,0,,,
Wayne,HAWLEY BOROUGH,STATE TREASURER,,,Under Votes,19,,,
Wayne,HAWLEY BOROUGH,U.S. House,8,DEM,MATT CARTWRIGHT,285,179,103,3
Wayne,HAWLEY BOROUGH,U.S. House,8,REP,ROB BRESNAHAN JR,354,267,80,7
Wayne,HAWLEY BOROUGH,U.S. House,8,,Write-ins,1,0,1,0
Wayne,HAWLEY BOROUGH,U.S. House,8,,Over Votes,0,,,
Wayne,HAWLEY BOROUGH,U.S. House,8,,Under Votes,11,,,
Wayne,HAWLEY BOROUGH,State House,139,DEM,ROBIN SCHOOLEY SKIBBER,257,154,100,3
Wayne,HAWLEY BOROUGH,State House,139,REP,JEFF OLSOMMER,372,288,79,5
Wayne,HAWLEY BOROUGH,State House,139,,Write-ins,3,2,1,0
Wayne,HAWLEY BOROUGH,State House,139,,Over Votes,1,,,
Wayne,HAWLEY BOROUGH,State House,139,,Under Votes,16,,,
Wayne,HONESDALE BOROUGH #1,Registered Voters,,,,927,,,
Wayne,HONESDALE BOROUGH #1,Ballots Cast,,,,666,,,
Wayne,HONESDALE BOROUGH #1,President,,DEM,KAMALA D HARRIS,265,157,107,1
Wayne,HONESDALE BOROUGH #1,President,,REP,DONALD J TRUMP,390,276,107,7
Wayne,HONESDALE BOROUGH #1,President,,LIB,CHASE OLIVER,2,1,1,0
Wayne,HONESDALE BOROUGH #1,President,,GRN,JILL STEIN,4,3,1,0
Wayne,HONESDALE BOROUGH #1,President,,,Write-ins,1,1,0,0
Wayne,HONESDALE BOROUGH #1,President,,,Over Votes,1,,,
Wayne,HONESDALE BOROUGH #1,President,,,Under Votes,3,,,
Wayne,HONESDALE BOROUGH #1,U.S. Senate,,DEM,ROBERT P CASEY JR,262,158,104,0
Wayne,HONESDALE BOROUGH #1,U.S. Senate,,REP,DAVE MCCORMICK,369,262,101,6
Wayne,HONESDALE BOROUGH #1,U.S. Senate,,LIB,JOHN C THOMAS,9,7,2,0
Wayne,HONESDALE BOROUGH #1,U.S. Senate,,GRN,LEILA HAZOU,14,7,5,2
Wayne,HONESDALE BOROUGH #1,U.S. Senate,,CST,MARTY SELKER,4,1,3,0
Wayne,HONESDALE BOROUGH #1,U.S. Senate,,,Write-ins,1,0,1,0
Wayne,HONESDALE BOROUGH #1,U.S. Senate,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #1,U.S. Senate,,,Under Votes,7,,,
Wayne,HONESDALE BOROUGH #1,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,233,138,95,0
Wayne,HONESDALE BOROUGH #1,ATTORNEY GENERAL,,REP,DAVE SUNDAY,388,273,109,6
Wayne,HONESDALE BOROUGH #1,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,12,7,4,1
Wayne,HONESDALE BOROUGH #1,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,12,9,2,1
Wayne,HONESDALE BOROUGH #1,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,5,1,4,0
Wayne,HONESDALE BOROUGH #1,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,4,3,1,0
Wayne,HONESDALE BOROUGH #1,ATTORNEY GENERAL,,,Write-ins,2,1,1,0
Wayne,HONESDALE BOROUGH #1,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #1,ATTORNEY GENERAL,,,Under Votes,10,,,
Wayne,HONESDALE BOROUGH #1,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,218,129,88,1
Wayne,HONESDALE BOROUGH #1,AUDITOR GENERAL,,REP,TIM DEFOOR,395,273,115,7
Wayne,HONESDALE BOROUGH #1,AUDITOR GENERAL,,LIB,REECE SMITH,15,13,2,0
Wayne,HONESDALE BOROUGH #1,AUDITOR GENERAL,,ASP,ERIC K ANTON,3,3,0,0
Wayne,HONESDALE BOROUGH #1,AUDITOR GENERAL,,CST,BOB GOODRICH,10,6,4,0
Wayne,HONESDALE BOROUGH #1,AUDITOR GENERAL,,,Write-ins,1,0,1,0
Wayne,HONESDALE BOROUGH #1,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #1,AUDITOR GENERAL,,,Under Votes,24,,,
Wayne,HONESDALE BOROUGH #1,STATE TREASURER,,DEM,ERIN MCCLELLAND,214,128,85,1
Wayne,HONESDALE BOROUGH #1,STATE TREASURER,,REP,STACY GARRITY,409,283,119,7
Wayne,HONESDALE BOROUGH #1,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,14,10,4,0
Wayne,HONESDALE BOROUGH #1,STATE TREASURER,,CST,TROY BOWMAN,3,1,2,0
Wayne,HONESDALE BOROUGH #1,STATE TREASURER,,FWD,CHRIS FOSTER,6,3,3,0
Wayne,HONESDALE BOROUGH #1,STATE TREASURER,,,Write-ins,1,1,0,0
Wayne,HONESDALE BOROUGH #1,STATE TREASURER,,,Over Votes,1,,,
Wayne,HONESDALE BOROUGH #1,STATE TREASURER,,,Under Votes,18,,,
Wayne,HONESDALE BOROUGH #1,U.S. House,8,DEM,MATT CARTWRIGHT,282,167,113,2
Wayne,HONESDALE BOROUGH #1,U.S. House,8,REP,ROB BRESNAHAN JR,371,266,99,6
Wayne,HONESDALE BOROUGH #1,U.S. House,8,,Write-ins,2,0,2,0
Wayne,HONESDALE BOROUGH #1,U.S. House,8,,Over Votes,1,,,
Wayne,HONESDALE BOROUGH #1,U.S. House,8,,Under Votes,10,,,
Wayne,HONESDALE BOROUGH #1,State House,111,REP,JONATHAN FRITZ,522,357,158,7
Wayne,HONESDALE BOROUGH #1,State House,111,,Write-ins,36,22,14,0
Wayne,HONESDALE BOROUGH #1,State House,111,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #1,State House,111,,Under Votes,108,,,
Wayne,HONESDALE BOROUGH #2,Registered Voters,,,,1095,,,
Wayne,HONESDALE BOROUGH #2,Ballots Cast,,,,813,,,
Wayne,HONESDALE BOROUGH #2,President,,DEM,KAMALA D HARRIS,357,213,144,0
Wayne,HONESDALE BOROUGH #2,President,,REP,DONALD J TRUMP,442,322,119,1
Wayne,HONESDALE BOROUGH #2,President,,LIB,CHASE OLIVER,3,2,1,0
Wayne,HONESDALE BOROUGH #2,President,,GRN,JILL STEIN,4,4,0,0
Wayne,HONESDALE BOROUGH #2,President,,,Write-ins,4,1,3,0
Wayne,HONESDALE BOROUGH #2,President,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #2,President,,,Under Votes,3,,,
Wayne,HONESDALE BOROUGH #2,U.S. Senate,,DEM,ROBERT P CASEY JR,361,214,147,0
Wayne,HONESDALE BOROUGH #2,U.S. Senate,,REP,DAVE MCCORMICK,420,307,112,1
Wayne,HONESDALE BOROUGH #2,U.S. Senate,,LIB,JOHN C THOMAS,11,9,2,0
Wayne,HONESDALE BOROUGH #2,U.S. Senate,,GRN,LEILA HAZOU,8,8,0,0
Wayne,HONESDALE BOROUGH #2,U.S. Senate,,CST,MARTY SELKER,5,2,3,0
Wayne,HONESDALE BOROUGH #2,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,HONESDALE BOROUGH #2,U.S. Senate,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #2,U.S. Senate,,,Under Votes,8,,,
Wayne,HONESDALE BOROUGH #2,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,353,216,137,0
Wayne,HONESDALE BOROUGH #2,ATTORNEY GENERAL,,REP,DAVE SUNDAY,417,302,114,1
Wayne,HONESDALE BOROUGH #2,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,11,10,1,0
Wayne,HONESDALE BOROUGH #2,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,4,3,1,0
Wayne,HONESDALE BOROUGH #2,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,4,3,1,0
Wayne,HONESDALE BOROUGH #2,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,1,1,0,0
Wayne,HONESDALE BOROUGH #2,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,HONESDALE BOROUGH #2,ATTORNEY GENERAL,,,Over Votes,1,,,
Wayne,HONESDALE BOROUGH #2,ATTORNEY GENERAL,,,Under Votes,19,,,
Wayne,HONESDALE BOROUGH #2,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,336,207,129,0
Wayne,HONESDALE BOROUGH #2,AUDITOR GENERAL,,REP,TIM DEFOOR,418,303,114,1
Wayne,HONESDALE BOROUGH #2,AUDITOR GENERAL,,LIB,REECE SMITH,16,12,4,0
Wayne,HONESDALE BOROUGH #2,AUDITOR GENERAL,,ASP,ERIC K ANTON,3,3,0,0
Wayne,HONESDALE BOROUGH #2,AUDITOR GENERAL,,CST,BOB GOODRICH,9,4,5,0
Wayne,HONESDALE BOROUGH #2,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,HONESDALE BOROUGH #2,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #2,AUDITOR GENERAL,,,Under Votes,28,,,
Wayne,HONESDALE BOROUGH #2,STATE TREASURER,,DEM,ERIN MCCLELLAND,331,205,126,0
Wayne,HONESDALE BOROUGH #2,STATE TREASURER,,REP,STACY GARRITY,434,310,123,1
Wayne,HONESDALE BOROUGH #2,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,12,10,2,0
Wayne,HONESDALE BOROUGH #2,STATE TREASURER,,CST,TROY BOWMAN,7,4,3,0
Wayne,HONESDALE BOROUGH #2,STATE TREASURER,,FWD,CHRIS FOSTER,4,4,0,0
Wayne,HONESDALE BOROUGH #2,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,HONESDALE BOROUGH #2,STATE TREASURER,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #2,STATE TREASURER,,,Under Votes,22,,,
Wayne,HONESDALE BOROUGH #2,U.S. House,8,DEM,MATT CARTWRIGHT,384,235,149,0
Wayne,HONESDALE BOROUGH #2,U.S. House,8,REP,ROB BRESNAHAN JR,416,298,117,1
Wayne,HONESDALE BOROUGH #2,U.S. House,8,,Write-ins,3,3,0,0
Wayne,HONESDALE BOROUGH #2,U.S. House,8,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #2,U.S. House,8,,Under Votes,10,,,
Wayne,HONESDALE BOROUGH #2,State House,111,REP,JONATHAN FRITZ,599,423,175,1
Wayne,HONESDALE BOROUGH #2,State House,111,,Write-ins,59,35,24,0
Wayne,HONESDALE BOROUGH #2,State House,111,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #2,State House,111,,Under Votes,152,,,
Wayne,HONESDALE BOROUGH #3,Registered Voters,,,,996,,,
Wayne,HONESDALE BOROUGH #3,Ballots Cast,,,,785,,,
Wayne,HONESDALE BOROUGH #3,President,,DEM,KAMALA D HARRIS,284,168,116,0
Wayne,HONESDALE BOROUGH #3,President,,REP,DONALD J TRUMP,481,355,122,4
Wayne,HONESDALE BOROUGH #3,President,,LIB,CHASE OLIVER,6,4,2,0
Wayne,HONESDALE BOROUGH #3,President,,GRN,JILL STEIN,5,4,1,0
Wayne,HONESDALE BOROUGH #3,President,,,Write-ins,3,0,3,0
Wayne,HONESDALE BOROUGH #3,President,,,Over Votes,3,,,
Wayne,HONESDALE BOROUGH #3,President,,,Under Votes,3,,,
Wayne,HONESDALE BOROUGH #3,U.S. Senate,,DEM,ROBERT P CASEY JR,281,169,112,0
Wayne,HONESDALE BOROUGH #3,U.S. Senate,,REP,DAVE MCCORMICK,467,345,118,4
Wayne,HONESDALE BOROUGH #3,U.S. Senate,,LIB,JOHN C THOMAS,13,6,7,0
Wayne,HONESDALE BOROUGH #3,U.S. Senate,,GRN,LEILA HAZOU,12,6,6,0
Wayne,HONESDALE BOROUGH #3,U.S. Senate,,CST,MARTY SELKER,4,3,1,0
Wayne,HONESDALE BOROUGH #3,U.S. Senate,,,Write-ins,1,0,1,0
Wayne,HONESDALE BOROUGH #3,U.S. Senate,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #3,U.S. Senate,,,Under Votes,7,,,
Wayne,HONESDALE BOROUGH #3,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,251,146,105,0
Wayne,HONESDALE BOROUGH #3,ATTORNEY GENERAL,,REP,DAVE SUNDAY,478,350,124,4
Wayne,HONESDALE BOROUGH #3,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,14,10,4,0
Wayne,HONESDALE BOROUGH #3,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,9,3,6,0
Wayne,HONESDALE BOROUGH #3,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,6,5,1,0
Wayne,HONESDALE BOROUGH #3,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,4,2,2,0
Wayne,HONESDALE BOROUGH #3,ATTORNEY GENERAL,,,Write-ins,2,1,1,0
Wayne,HONESDALE BOROUGH #3,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #3,ATTORNEY GENERAL,,,Under Votes,20,,,
Wayne,HONESDALE BOROUGH #3,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,246,141,105,0
Wayne,HONESDALE BOROUGH #3,AUDITOR GENERAL,,REP,TIM DEFOOR,477,352,121,4
Wayne,HONESDALE BOROUGH #3,AUDITOR GENERAL,,LIB,REECE SMITH,19,15,4,0
Wayne,HONESDALE BOROUGH #3,AUDITOR GENERAL,,ASP,ERIC K ANTON,3,1,2,0
Wayne,HONESDALE BOROUGH #3,AUDITOR GENERAL,,CST,BOB GOODRICH,12,7,5,0
Wayne,HONESDALE BOROUGH #3,AUDITOR GENERAL,,,Write-ins,1,0,1,0
Wayne,HONESDALE BOROUGH #3,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #3,AUDITOR GENERAL,,,Under Votes,26,,,
Wayne,HONESDALE BOROUGH #3,STATE TREASURER,,DEM,ERIN MCCLELLAND,241,142,99,0
Wayne,HONESDALE BOROUGH #3,STATE TREASURER,,REP,STACY GARRITY,491,360,127,4
Wayne,HONESDALE BOROUGH #3,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,14,10,4,0
Wayne,HONESDALE BOROUGH #3,STATE TREASURER,,CST,TROY BOWMAN,9,5,4,0
Wayne,HONESDALE BOROUGH #3,STATE TREASURER,,FWD,CHRIS FOSTER,4,2,2,0
Wayne,HONESDALE BOROUGH #3,STATE TREASURER,,,Write-ins,1,0,1,0
Wayne,HONESDALE BOROUGH #3,STATE TREASURER,,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #3,STATE TREASURER,,,Under Votes,24,,,
Wayne,HONESDALE BOROUGH #3,U.S. House,8,DEM,MATT CARTWRIGHT,291,172,119,0
Wayne,HONESDALE BOROUGH #3,U.S. House,8,REP,ROB BRESNAHAN JR,482,355,123,4
Wayne,HONESDALE BOROUGH #3,U.S. House,8,,Write-ins,1,0,1,0
Wayne,HONESDALE BOROUGH #3,U.S. House,8,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #3,U.S. House,8,,Under Votes,11,,,
Wayne,HONESDALE BOROUGH #3,State House,111,REP,JONATHAN FRITZ,629,447,179,3
Wayne,HONESDALE BOROUGH #3,State House,111,,Write-ins,46,27,19,0
Wayne,HONESDALE BOROUGH #3,State House,111,,Over Votes,0,,,
Wayne,HONESDALE BOROUGH #3,State House,111,,Under Votes,109,,,
Wayne,LAKE TOWNSHIP,Registered Voters,,,,4163,,,
Wayne,LAKE TOWNSHIP,Ballots Cast,,,,3112,,,
Wayne,LAKE TOWNSHIP,President,,DEM,KAMALA D HARRIS,1009,523,473,13
Wayne,LAKE TOWNSHIP,President,,REP,DONALD J TRUMP,2062,1430,628,4
Wayne,LAKE TOWNSHIP,President,,LIB,CHASE OLIVER,12,5,7,0
Wayne,LAKE TOWNSHIP,President,,GRN,JILL STEIN,12,7,5,0
Wayne,LAKE TOWNSHIP,President,,,Write-ins,7,3,4,0
Wayne,LAKE TOWNSHIP,President,,,Over Votes,1,,,
Wayne,LAKE TOWNSHIP,President,,,Under Votes,9,,,
Wayne,LAKE TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,1072,571,488,13
Wayne,LAKE TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,1959,1360,595,4
Wayne,LAKE TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,33,19,14,0
Wayne,LAKE TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,19,10,9,0
Wayne,LAKE TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,9,4,5,0
Wayne,LAKE TOWNSHIP,U.S. Senate,,,Write-ins,1,0,1,0
Wayne,LAKE TOWNSHIP,U.S. Senate,,,Over Votes,1,,,
Wayne,LAKE TOWNSHIP,U.S. Senate,,,Under Votes,18,,,
Wayne,LAKE TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,987,520,454,13
Wayne,LAKE TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,2000,1368,628,4
Wayne,LAKE TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,37,27,10,0
Wayne,LAKE TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,17,12,5,0
Wayne,LAKE TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,18,13,5,0
Wayne,LAKE TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,7,6,1,0
Wayne,LAKE TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,1,0,1,0
Wayne,LAKE TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,2,,,
Wayne,LAKE TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,41,,,
Wayne,LAKE TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,944,490,442,12
Wayne,LAKE TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,1989,1358,628,3
Wayne,LAKE TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,59,41,17,1
Wayne,LAKE TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,9,7,2,0
Wayne,LAKE TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,26,19,7,0
Wayne,LAKE TOWNSHIP,AUDITOR GENERAL,,,Write-ins,2,0,2,0
Wayne,LAKE TOWNSHIP,AUDITOR GENERAL,,,Over Votes,1,,,
Wayne,LAKE TOWNSHIP,AUDITOR GENERAL,,,Under Votes,80,,,
Wayne,LAKE TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,942,488,443,11
Wayne,LAKE TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,2027,1389,634,4
Wayne,LAKE TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,51,32,18,1
Wayne,LAKE TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,20,18,2,0
Wayne,LAKE TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,6,2,4,0
Wayne,LAKE TOWNSHIP,STATE TREASURER,,,Write-ins,1,0,1,0
Wayne,LAKE TOWNSHIP,STATE TREASURER,,,Over Votes,1,,,
Wayne,LAKE TOWNSHIP,STATE TREASURER,,,Under Votes,62,,,
Wayne,LAKE TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,1085,572,500,13
Wayne,LAKE TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,1978,1368,606,4
Wayne,LAKE TOWNSHIP,U.S. House,8,,Write-ins,3,1,2,0
Wayne,LAKE TOWNSHIP,U.S. House,8,,Over Votes,2,,,
Wayne,LAKE TOWNSHIP,U.S. House,8,,Under Votes,44,,,
Wayne,LAKE TOWNSHIP,State House,139,DEM,ROBIN SCHOOLEY SKIBBER,928,474,443,11
Wayne,LAKE TOWNSHIP,State House,139,REP,JEFF OLSOMMER,2101,1450,645,6
Wayne,LAKE TOWNSHIP,State House,139,,Write-ins,5,3,2,0
