candidate,office,district,party,county,precinct,votes,election_day,mail,provisional
Stacy L Garrity,State Treasurer,,,Wayne,Mou Ple Township,556,452,97,7
Joe Soloski,State Treasurer,,,Wayne,Mou Ple Township,11,9,2,0
Timothy Runkle,State Treasurer,,,Wayne,Mou Ple Township,6,3,3,0
Write-Ins,State Treasurer,,,Wayne,Mou Ple Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Mou Ple Township,0,,,
Under Votes,State Treasurer,,,Wayne,Mou Ple Township,27,,,
Matt Cartwright,U.S. House,8,,Wayne,Mou Ple Township,313,135,177,1
Jim Bognet,U.S. House,8,,Wayne,Mou Ple Township,547,453,87,7
Write-Ins,U.S. House,8,,Wayne,Mou Ple Township,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Mou Ple Township,0,,,
Under Votes,U.S. House,8,,Wayne,Mou Ple Township,16,,,
Jonathan Fritz,State Representative,111,,Wayne,Mou Ple Township,749,551,190,8
Write-Ins,State Representative,111,,Wayne,Mou Ple Township,15,6,9,0
Over Votes,State Representative,111,,Wayne,Mou Ple Township,0,,,
Under Votes,State Representative,111,,Wayne,Mou Ple Township,112,,,
Registered Voters,,,,Wayne,Oregan Township,555,,,
Ballots Cast,,,,Wayne,Oregan Township,458,,,
Joseph R Biden,President,,,Wayne,Oregan Township,118,49,69,0
Donald J Trump,President,,,Wayne,Oregan Township,336,289,45,2
Jo Jorgensen,President,,,Wayne,Oregan Township,3,3,0,0
Write-Ins,President,,,Wayne,Oregan Township,0,0,0,0
Over Votes,President,,,Wayne,Oregan Township,0,,,
Under Votes,President,,,Wayne,Oregan Township,1,,,
Josh Shapiro,Attorney General,,,Wayne,Oregan Township,124,53,71,0
Heather Heidelbaugh,Attorney General,,,Wayne,Oregan Township,318,277,39,2
Daniel Wassmer,Attorney General,,,Wayne,Oregan Township,10,7,3,0
Richard L Weiss,Attorney General,,,Wayne,Oregan Township,2,2,0,0
Write-Ins,Attorney General,,,Wayne,Oregan Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Oregan Township,1,,,
Under Votes,Attorney General,,,Wayne,Oregan Township,3,,,
Nina Ahmad,Auditor General,,,Wayne,Oregan Township,104,41,63,0
Timothy Defoor,Auditor General,,,Wayne,Oregan Township,321,279,41,1
Jennifer Moore,Auditor General,,,Wayne,Oregan Township,14,10,3,1
Olivia Faison,Auditor General,,,Wayne,Oregan Township,8,4,4,0
Write-Ins,Auditor General,,,Wayne,Oregan Township,1,0,1,0
Over Votes,Auditor General,,,Wayne,Oregan Township,0,,,
Under Votes,Auditor General,,,Wayne,Oregan Township,10,,,
Joe Torsella,State Treasurer,,,Wayne,Oregan Township,103,39,64,0
Stacy L Garrity,State Treasurer,,,Wayne,Oregan Township,330,284,44,2
Joe Soloski,State Treasurer,,,Wayne,Oregan Township,11,8,3,0
Timothy Runkle,State Treasurer,,,Wayne,Oregan Township,4,2,2,0
Write-Ins,State Treasurer,,,Wayne,Oregan Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Oregan Township,1,,,
Under Votes,State Treasurer,,,Wayne,Oregan Township,9,,,
Matt Cartwright,U.S. House,8,,Wayne,Oregan Township,116,47,69,0
Jim Bognet,U.S. House,8,,Wayne,Oregan Township,336,290,44,2
Write-Ins,U.S. House,8,,Wayne,Oregan Township,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Oregan Township,0,,,
Under Votes,U.S. House,8,,Wayne,Oregan Township,6,,,
Marian Keegan,State Representative,139,,Wayne,Oregan Township,92,31,61,0
Mike Peifer,State Representative,139,,Wayne,Oregan Township,361,307,52,2
Write-Ins,State Representative,139,,Wayne,Oregan Township,0,0,0,0
Over Votes,State Representative,139,,Wayne,Oregan Township,0,,,
Under Votes,State Representative,139,,Wayne,Oregan Township,5,,,
Registered Voters,,,,Wayne,Palmyra Township,936,,,
Ballots Cast,,,,Wayne,Palmyra Township,735,,,
Joseph R Biden,President,,,Wayne,Palmyra Township,210,83,127,0
Donald J Trump,President,,,Wayne,Palmyra Township,516,431,83,2
Jo Jorgensen,President,,,Wayne,Palmyra Township,4,3,1,0
Write-Ins,President,,,Wayne,Palmyra Township,1,1,0,0
Over Votes,President,,,Wayne,Palmyra Township,1,,,
Under Votes,President,,,Wayne,Palmyra Township,3,,,
Josh Shapiro,Attorney General,,,Wayne,Palmyra Township,217,89,128,0
Heather Heidelbaugh,Attorney General,,,Wayne,Palmyra Township,489,410,77,2
Daniel Wassmer,Attorney General,,,Wayne,Palmyra Township,12,8,4,0
Richard L Weiss,Attorney General,,,Wayne,Palmyra Township,1,1,0,0
Write-Ins,Attorney General,,,Wayne,Palmyra Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Palmyra Township,1,,,
Under Votes,Attorney General,,,Wayne,Palmyra Township,15,,,
Nina Ahmad,Auditor General,,,Wayne,Palmyra Township,188,76,112,0
Timothy Defoor,Auditor General,,,Wayne,Palmyra Township,508,418,88,2
Jennifer Moore,Auditor General,,,Wayne,Palmyra Township,13,9,4,0
Olivia Faison,Auditor General,,,Wayne,Palmyra Township,5,4,1,0
Write-Ins,Auditor General,,,Wayne,Palmyra Township,0,0,0,0
Over Votes,Auditor General,,,Wayne,Palmyra Township,1,,,
Under Votes,Auditor General,,,Wayne,Palmyra Township,20,,,
Joe Torsella,State Treasurer,,,Wayne,Palmyra Township,188,73,115,0
Stacy L Garrity,State Treasurer,,,Wayne,Palmyra Township,514,426,86,2
Joe Soloski,State Treasurer,,,Wayne,Palmyra Township,12,8,4,0
Timothy Runkle,State Treasurer,,,Wayne,Palmyra Township,3,2,1,0
Write-Ins,State Treasurer,,,Wayne,Palmyra Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Palmyra Township,1,,,
Under Votes,State Treasurer,,,Wayne,Palmyra Township,17,,,
Matt Cartwright,U.S. House,8,,Wayne,Palmyra Township,220,93,127,0
Jim Bognet,U.S. House,8,,Wayne,Palmyra Township,505,420,83,2
Write-Ins,U.S. House,8,,Wayne,Palmyra Township,1,1,0,0
Over Votes,U.S. House,8,,Wayne,Palmyra Township,1,,,
Under Votes,U.S. House,8,,Wayne,Palmyra Township,8,,,
Marian Keegan,State Representative,139,,Wayne,Palmyra Township,155,54,101,0
Mike Peifer,State Representative,139,,Wayne,Palmyra Township,564,457,105,2
Write-Ins,State Representative,139,,Wayne,Palmyra Township,2,2,0,0
Over Votes,State Representative,139,,Wayne,Palmyra Township,0,,,
Under Votes,State Representative,139,,Wayne,Palmyra Township,14,,,
Registered Voters,,,,Wayne,Paupack Township,3017,,,
Ballots Cast,,,,Wayne,Paupack Township,2342,,,
Joseph R Biden,President,,,Wayne,Paupack Township,786,195,585,6
Donald J Trump,President,,,Wayne,Paupack Township,1536,1122,392,22
Jo Jorgensen,President,,,Wayne,Paupack Township,12,7,5,0
Write-Ins,President,,,Wayne,Paupack Township,5,1,4,0
Over Votes,President,,,Wayne,Paupack Township,1,,,
Under Votes,President,,,Wayne,Paupack Township,2,,,
Josh Shapiro,Attorney General,,,Wayne,Paupack Township,817,222,590,5
Heather Heidelbaugh,Attorney General,,,Wayne,Paupack Township,1435,1042,372,21
Daniel Wassmer,Attorney General,,,Wayne,Paupack Township,34,27,6,1
Richard L Weiss,Attorney General,,,Wayne,Paupack Township,16,10,6,0
Write-Ins,Attorney General,,,Wayne,Paupack Township,2,2,0,0
Over Votes,Attorney General,,,Wayne,Paupack Township,2,,,
Under Votes,Attorney General,,,Wayne,Paupack Township,36,,,
Nina Ahmad,Auditor General,,,Wayne,Paupack Township,702,175,520,4
Timothy Defoor,Auditor General,,,Wayne,Paupack Township,1518,1072,423,23
Jennifer Moore,Auditor General,,,Wayne,Paupack Township,46,34,12,0
Olivia Faison,Auditor General,,,Wayne,Paupack Township,19,11,8,0
Write-Ins,Auditor General,,,Wayne,Paupack Township,3,3,0,0
Over Votes,Auditor General,,,Wayne,Paupack Township,2,,,
Under Votes,Auditor General,,,Wayne,Paupack Township,52,,,
Joe Torsella,State Treasurer,,,Wayne,Paupack Township,722,177,541,4
Stacy L Garrity,State Treasurer,,,Wayne,Paupack Township,1508,1079,406,23
Joe Soloski,State Treasurer,,,Wayne,Paupack Township,38,26,12,0
Timothy Runkle,State Treasurer,,,Wayne,Paupack Township,21,13,8,0
Write-Ins,State Treasurer,,,Wayne,Paupack Township,1,1,0,0
Over Votes,State Treasurer,,,Wayne,Paupack Township,3,,,
Under Votes,State Treasurer,,,Wayne,Paupack Township,49,,,
Matt Cartwright,U.S. House,8,,Wayne,Paupack Township,829,219,604,6
Jim Bognet,U.S. House,8,,Wayne,Paupack Township,1482,1093,367,22
Write-Ins,U.S. House,8,,Wayne,Paupack Township,2,2,0,0
Over Votes,U.S. House,8,,Wayne,Paupack Township,1,,,
Under Votes,U.S. House,8,,Wayne,Paupack Township,28,,,
Marian Keegan,State Representative,139,,Wayne,Paupack Township,671,163,504,4
Mike Peifer,State Representative,139,,Wayne,Paupack Township,1627,1140,465,22
Write-Ins,State Representative,139,,Wayne,Paupack Township,2,2,0,0
Over Votes,State Representative,139,,Wayne,Paupack Township,1,,,
Under Votes,State Representative,139,,Wayne,Paupack Township,41,,,
Registered Voters,,,,Wayne,Preston Township,752,,,
Ballots Cast,,,,Wayne,Preston Township,621,,,
Joseph R Biden,President,,,Wayne,Preston Township,195,89,105,1
Donald J Trump,President,,,Wayne,Preston Township,413,356,56,1
Jo Jorgensen,President,,,Wayne,Preston Township,8,4,4,0
Write-Ins,President,,,Wayne,Preston Township,3,3,0,0
Over Votes,President,,,Wayne,Preston Township,1,,,
Under Votes,President,,,Wayne,Preston Township,1,,,
Josh Shapiro,Attorney General,,,Wayne,Preston Township,202,101,100,1
Heather Heidelbaugh,Attorney General,,,Wayne,Preston Township,385,329,55,1
Daniel Wassmer,Attorney General,,,Wayne,Preston Township,15,14,1,0
Richard L Weiss,Attorney General,,,Wayne,Preston Township,5,1,4,0
Write-Ins,Attorney General,,,Wayne,Preston Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Preston Township,0,,,
Under Votes,Attorney General,,,Wayne,Preston Township,14,,,
Nina Ahmad,Auditor General,,,Wayne,Preston Township,178,88,89,1
Timothy Defoor,Auditor General,,,Wayne,Preston Township,399,335,63,1
Jennifer Moore,Auditor General,,,Wayne,Preston Township,25,20,5,0
Olivia Faison,Auditor General,,,Wayne,Preston Township,6,3,3,0
Write-Ins,Auditor General,,,Wayne,Preston Township,0,0,0,0
Over Votes,Auditor General,,,Wayne,Preston Township,0,,,
Under Votes,Auditor General,,,Wayne,Preston Township,13,,,
Joe Torsella,State Treasurer,,,Wayne,Preston Township,177,85,91,1
Stacy L Garrity,State Treasurer,,,Wayne,Preston Township,406,346,59,1
Joe Soloski,State Treasurer,,,Wayne,Preston Township,16,13,3,0
Timothy Runkle,State Treasurer,,,Wayne,Preston Township,8,3,5,0
Write-Ins,State Treasurer,,,Wayne,Preston Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Preston Township,0,,,
Under Votes,State Treasurer,,,Wayne,Preston Township,14,,,
Matt Cartwright,U.S. House,8,,Wayne,Preston Township,205,102,102,1
Jim Bognet,U.S. House,8,,Wayne,Preston Township,403,344,58,1
Write-Ins,U.S. House,8,,Wayne,Preston Township,2,2,0,0
Over Votes,U.S. House,8,,Wayne,Preston Township,0,,,
Under Votes,U.S. House,8,,Wayne,Preston Township,11,,,
Jonathan Fritz,State Representative,111,,Wayne,Preston Township,523,414,107,2
Write-Ins,State Representative,111,,Wayne,Preston Township,14,5,9,0
Over Votes,State Representative,111,,Wayne,Preston Township,0,,,
Under Votes,State Representative,111,,Wayne,Preston Township,84,,,
Registered Voters,,,,Wayne,Prompton Borough,178,,,
Ballots Cast,,,,Wayne,Prompton Borough,140,,,
Joseph R Biden,President,,,Wayne,Prompton Borough,36,18,18,0
Donald J Trump,President,,,Wayne,Prompton Borough,100,88,12,0
Jo Jorgensen,President,,,Wayne,Prompton Borough,3,1,2,0
Write-Ins,President,,,Wayne,Prompton Borough,1,1,0,0
Over Votes,President,,,Wayne,Prompton Borough,0,,,
Under Votes,President,,,Wayne,Prompton Borough,0,,,
Josh Shapiro,Attorney General,,,Wayne,Prompton Borough,42,23,19,0
Heather Heidelbaugh,Attorney General,,,Wayne,Prompton Borough,94,83,11,0
Daniel Wassmer,Attorney General,,,Wayne,Prompton Borough,2,0,2,0
Richard L Weiss,Attorney General,,,Wayne,Prompton Borough,0,0,0,0
Write-Ins,Attorney General,,,Wayne,Prompton Borough,0,0,0,0
Over Votes,Attorney General,,,Wayne,Prompton Borough,0,,,
Under Votes,Attorney General,,,Wayne,Prompton Borough,2,,,
Nina Ahmad,Auditor General,,,Wayne,Prompton Borough,28,13,15,0
Timothy Defoor,Auditor General,,,Wayne,Prompton Borough,95,83,12,0
Jennifer Moore,Auditor General,,,Wayne,Prompton Borough,9,7,2,0
Olivia Faison,Auditor General,,,Wayne,Prompton Borough,3,2,1,0
Write-Ins,Auditor General,,,Wayne,Prompton Borough,0,0,0,0
Over Votes,Auditor General,,,Wayne,Prompton Borough,0,,,
Under Votes,Auditor General,,,Wayne,Prompton Borough,5,,,
Joe Torsella,State Treasurer,,,Wayne,Prompton Borough,30,14,16,0
Stacy L Garrity,State Treasurer,,,Wayne,Prompton Borough,101,91,10,0
Joe Soloski,State Treasurer,,,Wayne,Prompton Borough,4,2,2,0
Timothy Runkle,State Treasurer,,,Wayne,Prompton Borough,0,0,0,0
Write-Ins,State Treasurer,,,Wayne,Prompton Borough,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Prompton Borough,0,,,
Under Votes,State Treasurer,,,Wayne,Prompton Borough,5,,,
Matt Cartwright,U.S. House,8,,Wayne,Prompton Borough,44,22,22,0
Jim Bognet,U.S. House,8,,Wayne,Prompton Borough,95,86,9,0
Write-Ins,U.S. House,8,,Wayne,Prompton Borough,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Prompton Borough,0,,,
Under Votes,U.S. House,8,,Wayne,Prompton Borough,1,,,
Jonathan Fritz,State Representative,111,,Wayne,Prompton Borough,127,99,28,0
Write-Ins,State Representative,111,,Wayne,Prompton Borough,4,4,0,0
Over Votes,State Representative,111,,Wayne,Prompton Borough,0,,,
Under Votes,State Representative,111,,Wayne,Prompton Borough,9,,,
Registered Voters,,,,Wayne,Salem Township,3109,,,
Ballots Cast,,,,Wayne,Salem Township,2390,,,
Joseph R Biden,President,,,Wayne,Salem Township,755,271,482,2
Donald J Trump,President,,,Wayne,Salem Township,1592,1283,294,15
Jo Jorgensen,President,,,Wayne,Salem Township,26,23,3,0
Write-Ins,President,,,Wayne,Salem Township,8,5,3,0
Over Votes,President,,,Wayne,Salem Township,3,,,
Under Votes,President,,,Wayne,Salem Township,6,,,
Josh Shapiro,Attorney General,,,Wayne,Salem Township,840,342,496,2
Heather Heidelbaugh,Attorney General,,,Wayne,Salem Township,1450,1174,262,14
Daniel Wassmer,Attorney General,,,Wayne,Salem Township,40,30,9,1
Richard L Weiss,Attorney General,,,Wayne,Salem Township,19,13,6,0
Write-Ins,Attorney General,,,Wayne,Salem Township,1,0,1,0
Over Votes,Attorney General,,,Wayne,Salem Township,1,,,
Under Votes,Attorney General,,,Wayne,Salem Township,39,,,
Nina Ahmad,Auditor General,,,Wayne,Salem Township,689,256,431,2
Timothy Defoor,Auditor General,,,Wayne,Salem Township,1528,1208,306,14
Jennifer Moore,Auditor General,,,Wayne,Salem Township,87,67,19,1
Olivia Faison,Auditor General,,,Wayne,Salem Township,27,16,11,0
Write-Ins,Auditor General,,,Wayne,Salem Township,0,0,0,0
Over Votes,Auditor General,,,Wayne,Salem Township,0,,,
Under Votes,Auditor General,,,Wayne,Salem Township,59,,,
Joe Torsella,State Treasurer,,,Wayne,Salem Township,730,283,445,2
Stacy L Garrity,State Treasurer,,,Wayne,Salem Township,1528,1214,300,14
Joe Soloski,State Treasurer,,,Wayne,Salem Township,46,38,7,1
Timothy Runkle,State Treasurer,,,Wayne,Salem Township,31,20,11,0
Write-Ins,State Treasurer,,,Wayne,Salem Township,1,0,1,0
Over Votes,State Treasurer,,,Wayne,Salem Township,0,,,
Under Votes,State Treasurer,,,Wayne,Salem Township,54,,,
Matt Cartwright,U.S. House,8,,Wayne,Salem Township,850,344,503,3
Jim Bognet,U.S. House,8,,Wayne,Salem Township,1514,1227,273,14
Write-Ins,U.S. House,8,,Wayne,Salem Township,3,1,2,0
Over Votes,U.S. House,8,,Wayne,Salem Township,1,,,
Under Votes,U.S. House,8,,Wayne,Salem Township,22,,,
Marian Keegan,State Representative,139,,Wayne,Salem Township,690,266,422,2
Mike Peifer,State Representative,139,,Wayne,Salem Township,1644,1282,347,15
Write-Ins,State Representative,139,,Wayne,Salem Township,2,1,1,0
Over Votes,State Representative,139,,Wayne,Salem Township,0,,,
Under Votes,State Representative,139,,Wayne,Salem Township,54,,,
Registered Voters,,,,Wayne,Scott Township,318,,,
Ballots Cast,,,,Wayne,Scott Township,257,,,
Joseph R Biden,President,,,Wayne,Scott Township,58,22,36,0
Donald J Trump,President,,,Wayne,Scott Township,198,167,30,1
Jo Jorgensen,President,,,Wayne,Scott Township,0,0,0,0
Write-Ins,President,,,Wayne,Scott Township,1,1,0,0
Over Votes,President,,,Wayne,Scott Township,0,,,
Under Votes,President,,,Wayne,Scott Township,0,,,
Josh Shapiro,Attorney General,,,Wayne,Scott Township,59,27,32,0
Heather Heidelbaugh,Attorney General,,,Wayne,Scott Township,179,148,30,1
Daniel Wassmer,Attorney General,,,Wayne,Scott Township,4,3,1,0
Richard L Weiss,Attorney General,,,Wayne,Scott Township,1,0,1,0
Write-Ins,Attorney General,,,Wayne,Scott Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Scott Township,0,,,
Under Votes,Attorney General,,,Wayne,Scott Township,14,,,
Nina Ahmad,Auditor General,,,Wayne,Scott Township,53,21,32,0
Timothy Defoor,Auditor General,,,Wayne,Scott Township,185,153,31,1
Jennifer Moore,Auditor General,,,Wayne,Scott Township,6,6,0,0
Olivia Faison,Auditor General,,,Wayne,Scott Township,2,0,2,0
Write-Ins,Auditor General,,,Wayne,Scott Township,0,0,0,0
Over Votes,Auditor General,,,Wayne,Scott Township,0,,,
Under Votes,Auditor General,,,Wayne,Scott Township,11,,,
Joe Torsella,State Treasurer,,,Wayne,Scott Township,50,22,28,0
Stacy L Garrity,State Treasurer,,,Wayne,Scott Township,184,151,32,1
Joe Soloski,State Treasurer,,,Wayne,Scott Township,6,6,0,0
Timothy Runkle,State Treasurer,,,Wayne,Scott Township,5,0,5,0
Write-Ins,State Treasurer,,,Wayne,Scott Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Scott Township,1,,,
Under Votes,State Treasurer,,,Wayne,Scott Township,11,,,
Matt Cartwright,U.S. House,8,,Wayne,Scott Township,59,25,34,0
Jim Bognet,U.S. House,8,,Wayne,Scott Township,190,158,31,1
Write-Ins,U.S. House,8,,Wayne,Scott Township,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Scott Township,0,,,
Under Votes,U.S. House,8,,Wayne,Scott Township,8,,,
Jonathan Fritz,State Representative,111,,Wayne,Scott Township,220,170,49,1
Write-Ins,State Representative,111,,Wayne,Scott Township,5,2,3,0
Over Votes,State Representative,111,,Wayne,Scott Township,0,,,
Under Votes,State Representative,111,,Wayne,Scott Township,32,,,
Registered Voters,,,,Wayne,Sou Canaan Township,1294,,,
Ballots Cast,,,,Wayne,Sou Canaan Township,1057,,,
Joseph R Biden,President,,,Wayne,Sou Canaan Township,278,136,138,4
Donald J Trump,President,,,Wayne,Sou Canaan Township,757,632,117,8
Jo Jorgensen,President,,,Wayne,Sou Canaan Township,16,13,3,0
Write-Ins,President,,,Wayne,Sou Canaan Township,2,1,1,0
Over Votes,President,,,Wayne,Sou Canaan Township,1,,,
Under Votes,President,,,Wayne,Sou Canaan Township,3,,,
Josh Shapiro,Attorney General,,,Wayne,Sou Canaan Township,319,173,139,7
Heather Heidelbaugh,Attorney General,,,Wayne,Sou Canaan Township,691,576,110,5
Daniel Wassmer,Attorney General,,,Wayne,Sou Canaan Township,17,15,2,0
Richard L Weiss,Attorney General,,,Wayne,Sou Canaan Township,5,2,3,0
Write-Ins,Attorney General,,,Wayne,Sou Canaan Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Sou Canaan Township,0,,,
Under Votes,Attorney General,,,Wayne,Sou Canaan Township,25,,,
Nina Ahmad,Auditor General,,,Wayne,Sou Canaan Township,257,123,132,2
Timothy Defoor,Auditor General,,,Wayne,Sou Canaan Township,725,602,114,9
Jennifer Moore,Auditor General,,,Wayne,Sou Canaan Township,36,31,5,0
Olivia Faison,Auditor General,,,Wayne,Sou Canaan Township,8,6,2,0
Write-Ins,Auditor General,,,Wayne,Sou Canaan Township,0,0,0,0
Over Votes,Auditor General,,,Wayne,Sou Canaan Township,0,,,
Under Votes,Auditor General,,,Wayne,Sou Canaan Township,31,,,
Joe Torsella,State Treasurer,,,Wayne,Sou Canaan Township,266,131,133,2
Stacy L Garrity,State Treasurer,,,Wayne,Sou Canaan Township,727,607,112,8
Joe Soloski,State Treasurer,,,Wayne,Sou Canaan Township,28,23,4,1
Timothy Runkle,State Treasurer,,,Wayne,Sou Canaan Township,7,3,4,0
Write-Ins,State Treasurer,,,Wayne,Sou Canaan Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Sou Canaan Township,1,,,
Under Votes,State Treasurer,,,Wayne,Sou Canaan Township,28,,,
Matt Cartwright,U.S. House,8,,Wayne,Sou Canaan Township,323,164,153,6
Jim Bognet,U.S. House,8,,Wayne,Sou Canaan Township,720,608,106,6
Write-Ins,U.S. House,8,,Wayne,Sou Canaan Township,3,3,0,0
Over Votes,U.S. House,8,,Wayne,Sou Canaan Township,0,,,
Under Votes,U.S. House,8,,Wayne,Sou Canaan Township,11,,,
Jonathan Fritz,State Representative,111,,Wayne,Sou Canaan Township,897,707,179,11
Write-Ins,State Representative,111,,Wayne,Sou Canaan Township,17,7,10,0
Over Votes,State Representative,111,,Wayne,Sou Canaan Township,0,,,
Under Votes,State Representative,111,,Wayne,Sou Canaan Township,143,,,
Registered Voters,,,,Wayne,Starrucca Borough,133,,,
Ballots Cast,,,,Wayne,Starrucca Borough,102,,,
Joseph R Biden,President,,,Wayne,Starrucca Borough,31,19,12,0
Donald J Trump,President,,,Wayne,Starrucca Borough,68,56,10,2
Jo Jorgensen,President,,,Wayne,Starrucca Borough,2,2,0,0
Write-Ins,President,,,Wayne,Starrucca Borough,1,1,0,0
Over Votes,President,,,Wayne,Starrucca Borough,0,,,
Under Votes,President,,,Wayne,Starrucca Borough,0,,,
Josh Shapiro,Attorney General,,,Wayne,Starrucca Borough,38,26,12,0
Heather Heidelbaugh,Attorney General,,,Wayne,Starrucca Borough,59,48,9,2
Daniel Wassmer,Attorney General,,,Wayne,Starrucca Borough,0,0,0,0
Richard L Weiss,Attorney General,,,Wayne,Starrucca Borough,1,0,1,0
Write-Ins,Attorney General,,,Wayne,Starrucca Borough,0,0,0,0
Over Votes,Attorney General,,,Wayne,Starrucca Borough,0,,,
Under Votes,Attorney General,,,Wayne,Starrucca Borough,4,,,
Nina Ahmad,Auditor General,,,Wayne,Starrucca Borough,31,20,11,0
Timothy Defoor,Auditor General,,,Wayne,Starrucca Borough,61,49,10,2
Jennifer Moore,Auditor General,,,Wayne,Starrucca Borough,4,4,0,0
Olivia Faison,Auditor General,,,Wayne,Starrucca Borough,2,1,1,0
Write-Ins,Auditor General,,,Wayne,Starrucca Borough,0,0,0,0
Over Votes,Auditor General,,,Wayne,Starrucca Borough,0,,,
Under Votes,Auditor General,,,Wayne,Starrucca Borough,4,,,
Joe Torsella,State Treasurer,,,Wayne,Starrucca Borough,29,19,10,0
Stacy L Garrity,State Treasurer,,,Wayne,Starrucca Borough,64,52,10,2
Joe Soloski,State Treasurer,,,Wayne,Starrucca Borough,4,3,1,0
Timothy Runkle,State Treasurer,,,Wayne,Starrucca Borough,1,0,1,0
Write-Ins,State Treasurer,,,Wayne,Starrucca Borough,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Starrucca Borough,0,,,
Under Votes,State Treasurer,,,Wayne,Starrucca Borough,4,,,
Matt Cartwright,U.S. House,8,,Wayne,Starrucca Borough,39,25,14,0
Jim Bognet,U.S. House,8,,Wayne,Starrucca Borough,60,50,8,2
Write-Ins,U.S. House,8,,Wayne,Starrucca Borough,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Starrucca Borough,0,,,
Under Votes,U.S. House,8,,Wayne,Starrucca Borough,3,,,
Jonathan Fritz,State Representative,111,,Wayne,Starrucca Borough,83,66,15,2
Write-Ins,State Representative,111,,Wayne,Starrucca Borough,3,1,2,0
Over Votes,State Representative,111,,Wayne,Starrucca Borough,0,,,
Under Votes,State Representative,111,,Wayne,Starrucca Borough,16,,,
Registered Voters,,,,Wayne,Sterling Township,1061,,,
Ballots Cast,,,,Wayne,Sterling Township,862,,,
Joseph R Biden,President,,,Wayne,Sterling Township,261,117,143,1
Donald J Trump,President,,,Wayne,Sterling Township,593,506,79,8
Jo Jorgensen,President,,,Wayne,Sterling Township,7,4,3,0
Write-Ins,President,,,Wayne,Sterling Township,0,0,0,0
Over Votes,President,,,Wayne,Sterling Township,0,,,
Under Votes,President,,,Wayne,Sterling Township,1,,,
Josh Shapiro,Attorney General,,,Wayne,Sterling Township,272,129,142,1
Heather Heidelbaugh,Attorney General,,,Wayne,Sterling Township,555,476,72,7
Daniel Wassmer,Attorney General,,,Wayne,Sterling Township,14,9,5,0
Richard L Weiss,Attorney General,,,Wayne,Sterling Township,6,5,1,0
Write-Ins,Attorney General,,,Wayne,Sterling Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Sterling Township,1,,,
Under Votes,Attorney General,,,Wayne,Sterling Township,14,,,
Nina Ahmad,Auditor General,,,Wayne,Sterling Township,232,104,127,1
Timothy Defoor,Auditor General,,,Wayne,Sterling Township,572,488,77,7
Jennifer Moore,Auditor General,,,Wayne,Sterling Township,25,14,10,1
Olivia Faison,Auditor General,,,Wayne,Sterling Township,9,6,3,0
Write-Ins,Auditor General,,,Wayne,Sterling Township,0,0,0,0
Over Votes,Auditor General,,,Wayne,Sterling Township,0,,,
Under Votes,Auditor General,,,Wayne,Sterling Township,24,,,
Joe Torsella,State Treasurer,,,Wayne,Sterling Township,238,111,127,0
Stacy L Garrity,State Treasurer,,,Wayne,Sterling Township,575,486,80,9
Joe Soloski,State Treasurer,,,Wayne,Sterling Township,20,13,7,0
Timothy Runkle,State Treasurer,,,Wayne,Sterling Township,9,5,4,0
Write-Ins,State Treasurer,,,Wayne,Sterling Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Sterling Township,0,,,
Under Votes,State Treasurer,,,Wayne,Sterling Township,20,,,
Matt Cartwright,U.S. House,8,,Wayne,Sterling Township,292,136,156,0
Jim Bognet,U.S. House,8,,Wayne,Sterling Township,558,485,64,9
Write-Ins,U.S. House,8,,Wayne,Sterling Township,1,1,0,0
Over Votes,U.S. House,8,,Wayne,Sterling Township,0,,,
Under Votes,U.S. House,8,,Wayne,Sterling Township,11,,,
Marian Keegan,State Representative,139,,Wayne,Sterling Township,229,101,128,0
Mike Peifer,State Representative,139,,Wayne,Sterling Township,614,511,94,9
Write-Ins,State Representative,139,,Wayne,Sterling Township,0,0,0,0
Over Votes,State Representative,139,,Wayne,Sterling Township,0,,,
Under Votes,State Representative,139,,Wayne,Sterling Township,19,,,
Registered Voters,,,,Wayne,Texas Township #1,574,,,
Ballots Cast,,,,Wayne,Texas Township #1,453,,,
Joseph R Biden,President,,,Wayne,Texas Township #1,140,58,81,1
Donald J Trump,President,,,Wayne,Texas Township #1,305,255,50,0
