county,precinct,office,district,party,candidate,votes,absentee_mail,election_day
Chester,356 E MARLBOROUGH S,President, ,REP,DONALD J TRUMP,184,70,114
Chester,356 E MARLBOROUGH S,President, ,REP,ROQUE ROCKY DE LA FUENTE,5,3,2
Chester,356 E MARLBOROUGH S,President, ,REP,BILL WELD,12,9,3
Chester,356 E MARLBOROUGH S,President, ,REP,Write-In Totals,8,6,2
Chester,356 E MARLBOROUGH S,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,200,85,115
Chester,356 E MARLBOROUGH S,ATTORNEY GENERAL, ,REP,Write-In Totals,1,1,0
Chester,356 E MARLBOROUGH S,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,198,83,115
Chester,356 E MARLBOROUGH S,AUDITOR GENERAL, ,REP,Write-In Totals,1,1,0
Chester,356 E MARLBOROUGH S,STATE TREASURER, ,REP,STACY L GARRITY,199,84,115
Chester,356 E MARLBOROUGH S,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,356 E MARLBOROUGH S,U.S. House,6,REP,JOHN EMMONS,204,87,117
Chester,356 E MARLBOROUGH S,U.S. House,6,REP,Write-In Totals,1,1,0
Chester,356 E MARLBOROUGH S,State House,158,REP,ERIC ROE,200,84,116
Chester,356 E MARLBOROUGH S,State House,158,REP,Write-In Totals,1,1,0
Chester,360 E MARLBOROUGH W,Registered Voters, ,,Registered Voters - Total,"2,317",,
Chester,360 E MARLBOROUGH W,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,890,,
Chester,360 E MARLBOROUGH W,Registered Voters, ,REP,Registered Voters - REPUBLICAN,"1,025",,
Chester,360 E MARLBOROUGH W,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,402,,
Chester,360 E MARLBOROUGH W,Ballots Cast, , , ,787,581,206
Chester,360 E MARLBOROUGH W,Ballots Cast, ,DEM, ,486,409,77
Chester,360 E MARLBOROUGH W,Ballots Cast, ,REP, ,301,172,129
Chester,360 E MARLBOROUGH W,Ballots Cast, ,NPA, ,0,0,0
Chester,360 E MARLBOROUGH W,President, ,DEM,BERNIE SANDERS,66,52,14
Chester,360 E MARLBOROUGH W,President, ,DEM,JOSEPH R BIDEN,407,350,57
Chester,360 E MARLBOROUGH W,President, ,DEM,TULSI GABBARD,5,2,3
Chester,360 E MARLBOROUGH W,President, ,DEM,Write-In Totals,5,4,1
Chester,360 E MARLBOROUGH W,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,453,386,67
Chester,360 E MARLBOROUGH W,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,360 E MARLBOROUGH W,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,15,13,2
Chester,360 E MARLBOROUGH W,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,25,22,3
Chester,360 E MARLBOROUGH W,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,38,37,1
Chester,360 E MARLBOROUGH W,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,8,7,1
Chester,360 E MARLBOROUGH W,AUDITOR GENERAL, ,DEM,NINA AHMAD,147,126,21
Chester,360 E MARLBOROUGH W,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,204,162,42
Chester,360 E MARLBOROUGH W,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,360 E MARLBOROUGH W,STATE TREASURER, ,DEM,JOE TORSELLA,441,375,66
Chester,360 E MARLBOROUGH W,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,360 E MARLBOROUGH W,U.S. House,6,DEM,CHRISSY HOULAHAN,469,400,69
Chester,360 E MARLBOROUGH W,U.S. House,6,DEM,Write-In Totals,1,1,0
Chester,360 E MARLBOROUGH W,State House,158,DEM,CHRISTINA SAPPEY,460,391,69
Chester,360 E MARLBOROUGH W,State House,158,DEM,Write-In Totals,0,0,0
Chester,360 E MARLBOROUGH W,President, ,REP,DONALD J TRUMP,214,100,114
Chester,360 E MARLBOROUGH W,President, ,REP,ROQUE ROCKY DE LA FUENTE,4,3,1
Chester,360 E MARLBOROUGH W,President, ,REP,BILL WELD,51,39,12
Chester,360 E MARLBOROUGH W,President, ,REP,Write-In Totals,16,16,0
Chester,360 E MARLBOROUGH W,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,263,152,111
Chester,360 E MARLBOROUGH W,ATTORNEY GENERAL, ,REP,Write-In Totals,3,3,0
Chester,360 E MARLBOROUGH W,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,260,149,111
Chester,360 E MARLBOROUGH W,AUDITOR GENERAL, ,REP,Write-In Totals,3,3,0
Chester,360 E MARLBOROUGH W,STATE TREASURER, ,REP,STACY L GARRITY,260,151,109
Chester,360 E MARLBOROUGH W,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,360 E MARLBOROUGH W,U.S. House,6,REP,JOHN EMMONS,270,154,116
Chester,360 E MARLBOROUGH W,U.S. House,6,REP,Write-In Totals,6,5,1
Chester,360 E MARLBOROUGH W,State House,158,REP,ERIC ROE,266,154,112
Chester,360 E MARLBOROUGH W,State House,158,REP,Write-In Totals,3,2,1
Chester,365 W MARLBOROUGH,Registered Voters, ,,Registered Voters - Total,593,,
Chester,365 W MARLBOROUGH,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,254,,
Chester,365 W MARLBOROUGH,Registered Voters, ,REP,Registered Voters - REPUBLICAN,253,,
Chester,365 W MARLBOROUGH,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,86,,
Chester,365 W MARLBOROUGH,Ballots Cast, , , ,250,106,144
Chester,365 W MARLBOROUGH,Ballots Cast, ,DEM, ,139,79,60
Chester,365 W MARLBOROUGH,Ballots Cast, ,REP, ,111,27,84
Chester,365 W MARLBOROUGH,Ballots Cast, ,NPA, ,0,0,0
Chester,365 W MARLBOROUGH,President, ,DEM,BERNIE SANDERS,13,8,5
Chester,365 W MARLBOROUGH,President, ,DEM,JOSEPH R BIDEN,122,69,53
Chester,365 W MARLBOROUGH,President, ,DEM,TULSI GABBARD,2,1,1
Chester,365 W MARLBOROUGH,President, ,DEM,Write-In Totals,1,1,0
Chester,365 W MARLBOROUGH,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,125,73,52
Chester,365 W MARLBOROUGH,ATTORNEY GENERAL, ,DEM,Write-In Totals,2,1,1
Chester,365 W MARLBOROUGH,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,4,0,4
Chester,365 W MARLBOROUGH,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,8,4,4
Chester,365 W MARLBOROUGH,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,2,2,0
Chester,365 W MARLBOROUGH,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,3,3,0
Chester,365 W MARLBOROUGH,AUDITOR GENERAL, ,DEM,NINA AHMAD,38,15,23
Chester,365 W MARLBOROUGH,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,70,49,21
Chester,365 W MARLBOROUGH,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,365 W MARLBOROUGH,STATE TREASURER, ,DEM,JOE TORSELLA,123,72,51
Chester,365 W MARLBOROUGH,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,365 W MARLBOROUGH,U.S. House,6,DEM,CHRISSY HOULAHAN,132,75,57
Chester,365 W MARLBOROUGH,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,365 W MARLBOROUGH,State House,158,DEM,CHRISTINA SAPPEY,127,74,53
Chester,365 W MARLBOROUGH,State House,158,DEM,Write-In Totals,1,0,1
Chester,365 W MARLBOROUGH,President, ,REP,DONALD J TRUMP,75,11,64
Chester,365 W MARLBOROUGH,President, ,REP,ROQUE ROCKY DE LA FUENTE,1,0,1
Chester,365 W MARLBOROUGH,President, ,REP,BILL WELD,22,11,11
Chester,365 W MARLBOROUGH,President, ,REP,Write-In Totals,8,3,5
Chester,365 W MARLBOROUGH,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,94,23,71
Chester,365 W MARLBOROUGH,ATTORNEY GENERAL, ,REP,Write-In Totals,1,1,0
Chester,365 W MARLBOROUGH,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,93,23,70
Chester,365 W MARLBOROUGH,AUDITOR GENERAL, ,REP,Write-In Totals,1,1,0
Chester,365 W MARLBOROUGH,STATE TREASURER, ,REP,STACY L GARRITY,93,23,70
Chester,365 W MARLBOROUGH,STATE TREASURER, ,REP,Write-In Totals,0,0,0
Chester,365 W MARLBOROUGH,U.S. House,6,REP,JOHN EMMONS,95,22,73
Chester,365 W MARLBOROUGH,U.S. House,6,REP,Write-In Totals,1,1,0
Chester,365 W MARLBOROUGH,State House,158,REP,ERIC ROE,95,23,72
Chester,365 W MARLBOROUGH,State House,158,REP,Write-In Totals,1,1,0
Chester,370 MODENA,Registered Voters, ,,Registered Voters - Total,269,,
Chester,370 MODENA,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,161,,
Chester,370 MODENA,Registered Voters, ,REP,Registered Voters - REPUBLICAN,69,,
Chester,370 MODENA,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,39,,
Chester,370 MODENA,Ballots Cast, , , ,66,34,32
Chester,370 MODENA,Ballots Cast, ,DEM, ,43,23,20
Chester,370 MODENA,Ballots Cast, ,REP, ,23,11,12
Chester,370 MODENA,Ballots Cast, ,NPA, ,0,0,0
Chester,370 MODENA,President, ,DEM,BERNIE SANDERS,7,4,3
Chester,370 MODENA,President, ,DEM,JOSEPH R BIDEN,35,18,17
Chester,370 MODENA,President, ,DEM,TULSI GABBARD,1,1,0
Chester,370 MODENA,President, ,DEM,Write-In Totals,0,0,0
Chester,370 MODENA,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,39,22,17
Chester,370 MODENA,ATTORNEY GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,370 MODENA,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,0,0,0
Chester,370 MODENA,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,1,0,1
Chester,370 MODENA,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,2,1,1
Chester,370 MODENA,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,2,0,2
Chester,370 MODENA,AUDITOR GENERAL, ,DEM,NINA AHMAD,29,17,12
Chester,370 MODENA,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,6,3,3
Chester,370 MODENA,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,370 MODENA,STATE TREASURER, ,DEM,JOE TORSELLA,38,20,18
Chester,370 MODENA,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,370 MODENA,U.S. House,6,DEM,CHRISSY HOULAHAN,42,23,19
Chester,370 MODENA,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,370 MODENA,State House,74,DEM,DAN K WILLIAMS,38,21,17
Chester,370 MODENA,State House,74,DEM,Write-In Totals,0,0,0
Chester,370 MODENA,President, ,REP,DONALD J TRUMP,22,10,12
Chester,370 MODENA,President, ,REP,ROQUE ROCKY DE LA FUENTE,0,0,0
Chester,370 MODENA,President, ,REP,BILL WELD,1,1,0
Chester,370 MODENA,President, ,REP,Write-In Totals,0,0,0
Chester,370 MODENA,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,22,10,12
Chester,370 MODENA,ATTORNEY GENERAL, ,REP,Write-In Totals,0,0,0
Chester,370 MODENA,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,22,10,12
Chester,370 MODENA,AUDITOR GENERAL, ,REP,Write-In Totals,0,0,0
Chester,370 MODENA,STATE TREASURER, ,REP,STACY L GARRITY,22,10,12
Chester,370 MODENA,STATE TREASURER, ,REP,Write-In Totals,0,0,0
Chester,370 MODENA,U.S. House,6,REP,JOHN EMMONS,22,10,12
Chester,370 MODENA,U.S. House,6,REP,Write-In Totals,0,0,0
Chester,370 MODENA,State House,74,REP,DALE HENSEL,22,10,12
Chester,370 MODENA,State House,74,REP,Write-In Totals,0,0,0
Chester,375 E NANTMEAL,Registered Voters, ,,Registered Voters - Total,"1,349",,
Chester,375 E NANTMEAL,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,464,,
Chester,375 E NANTMEAL,Registered Voters, ,REP,Registered Voters - REPUBLICAN,694,,
Chester,375 E NANTMEAL,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,191,,
Chester,375 E NANTMEAL,Ballots Cast, , , ,539,356,183
Chester,375 E NANTMEAL,Ballots Cast, ,DEM, ,279,249,30
Chester,375 E NANTMEAL,Ballots Cast, ,REP, ,260,107,153
Chester,375 E NANTMEAL,Ballots Cast, ,NPA, ,0,0,0
Chester,375 E NANTMEAL,President, ,DEM,BERNIE SANDERS,44,38,6
Chester,375 E NANTMEAL,President, ,DEM,JOSEPH R BIDEN,230,209,21
Chester,375 E NANTMEAL,President, ,DEM,TULSI GABBARD,3,2,1
Chester,375 E NANTMEAL,President, ,DEM,Write-In Totals,2,0,2
Chester,375 E NANTMEAL,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,253,230,23
Chester,375 E NANTMEAL,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,0,1
Chester,375 E NANTMEAL,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,8,6,2
Chester,375 E NANTMEAL,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,11,9,2
Chester,375 E NANTMEAL,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,12,12,0
Chester,375 E NANTMEAL,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,9,8,1
Chester,375 E NANTMEAL,AUDITOR GENERAL, ,DEM,NINA AHMAD,67,55,12
Chester,375 E NANTMEAL,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,147,137,10
Chester,375 E NANTMEAL,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,375 E NANTMEAL,STATE TREASURER, ,DEM,JOE TORSELLA,253,229,24
Chester,375 E NANTMEAL,STATE TREASURER, ,DEM,Write-In Totals,1,0,1
Chester,375 E NANTMEAL,U.S. House,6,DEM,CHRISSY HOULAHAN,269,243,26
Chester,375 E NANTMEAL,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,375 E NANTMEAL,State House,26,DEM,FRANK GILLEN,27,25,2
Chester,375 E NANTMEAL,State House,26,DEM,PAUL FRIEL,229,205,24
Chester,375 E NANTMEAL,State House,26,DEM,Write-In Totals,0,0,0
Chester,375 E NANTMEAL,President, ,REP,DONALD J TRUMP,214,71,143
Chester,375 E NANTMEAL,President, ,REP,ROQUE ROCKY DE LA FUENTE,3,1,2
Chester,375 E NANTMEAL,President, ,REP,BILL WELD,17,13,4
Chester,375 E NANTMEAL,President, ,REP,Write-In Totals,14,12,2
Chester,375 E NANTMEAL,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,226,82,144
Chester,375 E NANTMEAL,ATTORNEY GENERAL, ,REP,Write-In Totals,3,2,1
Chester,375 E NANTMEAL,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,225,85,140
Chester,375 E NANTMEAL,AUDITOR GENERAL, ,REP,Write-In Totals,2,1,1
Chester,375 E NANTMEAL,STATE TREASURER, ,REP,STACY L GARRITY,225,84,141
Chester,375 E NANTMEAL,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,375 E NANTMEAL,U.S. House,6,REP,JOHN EMMONS,235,89,146
Chester,375 E NANTMEAL,U.S. House,6,REP,Write-In Totals,2,2,0
Chester,375 E NANTMEAL,State House,26,REP,TIM HENNESSEY,240,92,148
Chester,375 E NANTMEAL,State House,26,REP,Write-In Totals,3,2,1
Chester,380 W NANTMEAL,Registered Voters, ,,Registered Voters - Total,"1,499",,
Chester,380 W NANTMEAL,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,410,,
Chester,380 W NANTMEAL,Registered Voters, ,REP,Registered Voters - REPUBLICAN,846,,
Chester,380 W NANTMEAL,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,243,,
Chester,380 W NANTMEAL,Ballots Cast, , , ,516,229,287
Chester,380 W NANTMEAL,Ballots Cast, ,DEM, ,187,140,47
Chester,380 W NANTMEAL,Ballots Cast, ,REP, ,329,89,240
Chester,380 W NANTMEAL,Ballots Cast, ,NPA, ,0,0,0
Chester,380 W NANTMEAL,President, ,DEM,BERNIE SANDERS,37,28,9
Chester,380 W NANTMEAL,President, ,DEM,JOSEPH R BIDEN,144,109,35
Chester,380 W NANTMEAL,President, ,DEM,TULSI GABBARD,3,2,1
Chester,380 W NANTMEAL,President, ,DEM,Write-In Totals,2,1,1
Chester,380 W NANTMEAL,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,172,129,43
Chester,380 W NANTMEAL,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,380 W NANTMEAL,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,5,2,3
Chester,380 W NANTMEAL,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,8,3,5
Chester,380 W NANTMEAL,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,6,5,1
Chester,380 W NANTMEAL,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,7,6,1
Chester,380 W NANTMEAL,AUDITOR GENERAL, ,DEM,NINA AHMAD,57,42,15
Chester,380 W NANTMEAL,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,92,73,19
Chester,380 W NANTMEAL,AUDITOR GENERAL, ,DEM,Write-In Totals,2,2,0
Chester,380 W NANTMEAL,STATE TREASURER, ,DEM,JOE TORSELLA,171,127,44
Chester,380 W NANTMEAL,STATE TREASURER, ,DEM,Write-In Totals,2,2,0
Chester,380 W NANTMEAL,U.S. House,6,DEM,CHRISSY HOULAHAN,181,135,46
Chester,380 W NANTMEAL,U.S. House,6,DEM,Write-In Totals,2,2,0
Chester,380 W NANTMEAL,State House,26,DEM,FRANK GILLEN,61,46,15
Chester,380 W NANTMEAL,State House,26,DEM,PAUL FRIEL,115,86,29
Chester,380 W NANTMEAL,State House,26,DEM,Write-In Totals,0,0,0
Chester,380 W NANTMEAL,President, ,REP,DONALD J TRUMP,292,65,227
Chester,380 W NANTMEAL,President, ,REP,ROQUE ROCKY DE LA FUENTE,1,1,0
Chester,380 W NANTMEAL,President, ,REP,BILL WELD,17,9,8
Chester,380 W NANTMEAL,President, ,REP,Write-In Totals,8,6,2
Chester,380 W NANTMEAL,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,304,84,220
Chester,380 W NANTMEAL,ATTORNEY GENERAL, ,REP,Write-In Totals,1,1,0
Chester,380 W NANTMEAL,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,301,81,220
Chester,380 W NANTMEAL,AUDITOR GENERAL, ,REP,Write-In Totals,2,1,1
Chester,380 W NANTMEAL,STATE TREASURER, ,REP,STACY L GARRITY,305,85,220
Chester,380 W NANTMEAL,STATE TREASURER, ,REP,Write-In Totals,2,1,1
Chester,380 W NANTMEAL,U.S. House,6,REP,JOHN EMMONS,305,83,222
Chester,380 W NANTMEAL,U.S. House,6,REP,Write-In Totals,0,0,0
Chester,380 W NANTMEAL,State House,26,REP,TIM HENNESSEY,308,84,224
Chester,380 W NANTMEAL,State House,26,REP,Write-In Totals,3,0,3
Chester,385 NEW GARDEN N,Registered Voters, ,,Registered Voters - Total,"2,363",,
Chester,385 NEW GARDEN N,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,975,,
Chester,385 NEW GARDEN N,Registered Voters, ,REP,Registered Voters - REPUBLICAN,958,,
Chester,385 NEW GARDEN N,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,430,,
Chester,385 NEW GARDEN N,Ballots Cast, , , ,658,391,267
Chester,385 NEW GARDEN N,Ballots Cast, ,DEM, ,402,292,110
Chester,385 NEW GARDEN N,Ballots Cast, ,REP, ,256,99,157
Chester,385 NEW GARDEN N,Ballots Cast, ,NPA, ,0,0,0
Chester,385 NEW GARDEN N,President, ,DEM,BERNIE SANDERS,70,51,19
Chester,385 NEW GARDEN N,President, ,DEM,JOSEPH R BIDEN,315,232,83
Chester,385 NEW GARDEN N,President, ,DEM,TULSI GABBARD,6,4,2
Chester,385 NEW GARDEN N,President, ,DEM,Write-In Totals,2,2,0
Chester,385 NEW GARDEN N,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,370,268,102
Chester,385 NEW GARDEN N,ATTORNEY GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,385 NEW GARDEN N,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,8,6,2
Chester,385 NEW GARDEN N,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,19,13,6
Chester,385 NEW GARDEN N,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,29,27,2
Chester,385 NEW GARDEN N,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,10,4,6
Chester,385 NEW GARDEN N,AUDITOR GENERAL, ,DEM,NINA AHMAD,138,98,40
Chester,385 NEW GARDEN N,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,164,116,48
Chester,385 NEW GARDEN N,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,385 NEW GARDEN N,STATE TREASURER, ,DEM,JOE TORSELLA,361,262,99
Chester,385 NEW GARDEN N,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,385 NEW GARDEN N,U.S. House,6,DEM,CHRISSY HOULAHAN,384,277,107
Chester,385 NEW GARDEN N,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,385 NEW GARDEN N,State House,158,DEM,CHRISTINA SAPPEY,371,268,103
Chester,385 NEW GARDEN N,State House,158,DEM,Write-In Totals,0,0,0
Chester,385 NEW GARDEN N,President, ,REP,DONALD J TRUMP,203,66,137
Chester,385 NEW GARDEN N,President, ,REP,ROQUE ROCKY DE LA FUENTE,8,4,4
Chester,385 NEW GARDEN N,President, ,REP,BILL WELD,23,11,12
Chester,385 NEW GARDEN N,President, ,REP,Write-In Totals,13,13,0
Chester,385 NEW GARDEN N,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,228,85,143
Chester,385 NEW GARDEN N,ATTORNEY GENERAL, ,REP,Write-In Totals,4,3,1
Chester,385 NEW GARDEN N,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,226,85,141
Chester,385 NEW GARDEN N,AUDITOR GENERAL, ,REP,Write-In Totals,4,3,1
Chester,385 NEW GARDEN N,STATE TREASURER, ,REP,STACY L GARRITY,229,86,143
Chester,385 NEW GARDEN N,STATE TREASURER, ,REP,Write-In Totals,3,2,1
Chester,385 NEW GARDEN N,U.S. House,6,REP,JOHN EMMONS,234,88,146
Chester,385 NEW GARDEN N,U.S. House,6,REP,Write-In Totals,7,6,1
Chester,385 NEW GARDEN N,State House,158,REP,ERIC ROE,240,89,151
Chester,385 NEW GARDEN N,State House,158,REP,Write-In Totals,7,5,2
Chester,390 NEW GARDEN S-1,Registered Voters, ,,Registered Voters - Total,"2,468",,
Chester,390 NEW GARDEN S-1,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,842,,
Chester,390 NEW GARDEN S-1,Registered Voters, ,REP,Registered Voters - REPUBLICAN,"1,091",,
Chester,390 NEW GARDEN S-1,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,535,,
Chester,390 NEW GARDEN S-1,Ballots Cast, , , ,683,461,222
Chester,390 NEW GARDEN S-1,Ballots Cast, ,DEM, ,398,324,74
Chester,390 NEW GARDEN S-1,Ballots Cast, ,REP, ,285,137,148
Chester,390 NEW GARDEN S-1,Ballots Cast, ,NPA, ,0,0,0
Chester,390 NEW GARDEN S-1,President, ,DEM,BERNIE SANDERS,50,36,14
Chester,390 NEW GARDEN S-1,President, ,DEM,JOSEPH R BIDEN,335,283,52
Chester,390 NEW GARDEN S-1,President, ,DEM,TULSI GABBARD,2,1,1
Chester,390 NEW GARDEN S-1,President, ,DEM,Write-In Totals,5,1,4
Chester,390 NEW GARDEN S-1,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,368,304,64
Chester,390 NEW GARDEN S-1,ATTORNEY GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,390 NEW GARDEN S-1,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,11,5,6
Chester,390 NEW GARDEN S-1,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,10,9,1
Chester,390 NEW GARDEN S-1,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,32,31,1
Chester,390 NEW GARDEN S-1,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,13,9,4
Chester,390 NEW GARDEN S-1,AUDITOR GENERAL, ,DEM,NINA AHMAD,124,98,26
Chester,390 NEW GARDEN S-1,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,168,141,27
Chester,390 NEW GARDEN S-1,AUDITOR GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,390 NEW GARDEN S-1,STATE TREASURER, ,DEM,JOE TORSELLA,363,299,64
Chester,390 NEW GARDEN S-1,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,390 NEW GARDEN S-1,U.S. House,6,DEM,CHRISSY HOULAHAN,382,311,71
Chester,390 NEW GARDEN S-1,U.S. House,6,DEM,Write-In Totals,1,1,0
Chester,390 NEW GARDEN S-1,State House,158,DEM,CHRISTINA SAPPEY,367,302,65
Chester,390 NEW GARDEN S-1,State House,158,DEM,Write-In Totals,1,1,0
Chester,390 NEW GARDEN S-1,President, ,REP,DONALD J TRUMP,228,95,133
Chester,390 NEW GARDEN S-1,President, ,REP,ROQUE ROCKY DE LA FUENTE,5,4,1
Chester,390 NEW GARDEN S-1,President, ,REP,BILL WELD,26,19,7
Chester,390 NEW GARDEN S-1,President, ,REP,Write-In Totals,21,14,7
Chester,390 NEW GARDEN S-1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,261,121,140
Chester,390 NEW GARDEN S-1,ATTORNEY GENERAL, ,REP,Write-In Totals,2,1,1
Chester,390 NEW GARDEN S-1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,258,122,136
Chester,390 NEW GARDEN S-1,AUDITOR GENERAL, ,REP,Write-In Totals,3,1,2
Chester,390 NEW GARDEN S-1,STATE TREASURER, ,REP,STACY L GARRITY,257,121,136
Chester,390 NEW GARDEN S-1,STATE TREASURER, ,REP,Write-In Totals,4,1,3
Chester,390 NEW GARDEN S-1,U.S. House,6,REP,JOHN EMMONS,267,127,140
Chester,390 NEW GARDEN S-1,U.S. House,6,REP,Write-In Totals,3,1,2
Chester,390 NEW GARDEN S-1,State House,158,REP,ERIC ROE,267,128,139
Chester,390 NEW GARDEN S-1,State House,158,REP,Write-In Totals,6,2,4
Chester,391 NEW GARDEN S-2,Registered Voters, ,,Registered Voters - Total,"2,206",,
Chester,391 NEW GARDEN S-2,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,873,,
Chester,391 NEW GARDEN S-2,Registered Voters, ,REP,Registered Voters - REPUBLICAN,906,,
Chester,391 NEW GARDEN S-2,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,427,,
Chester,391 NEW GARDEN S-2,Ballots Cast, , , ,728,543,185
Chester,391 NEW GARDEN S-2,Ballots Cast, ,DEM, ,480,402,78
Chester,391 NEW GARDEN S-2,Ballots Cast, ,REP, ,248,141,107
Chester,391 NEW GARDEN S-2,Ballots Cast, ,NPA, ,0,0,0
